Algorithm,Average_Rank,Datasets_Count,Rank_Rossmann,Rank_Walmart,Rank_Airbnb,Rank_Berka,Rank_F1
RELDIFF-GSAGE,7.4,5,6.0,6.0,5.0,19.0,1.0
CLAVA-GIN,8.2,5,4.0,9.0,15.0,7.0,6.0
CLAVA-GSAGE,8.2,5,5.0,8.0,8.0,13.0,7.0
RELDIFF-GIN,8.4,5,8.0,4.0,7.0,12.0,11.0
RELDIFF-GCONV,8.6,5,7.0,1.0,3.0,9.0,23.0
CLAVA-RelGNN,9.2,5,2.0,7.0,14.0,8.0,15.0
RELDIFF-RelGNN,9.4,5,1.0,2.0,10.0,14.0,20.0
CLAVA-GCONV,10.0,5,3.0,5.0,18.0,15.0,9.0
RELDIFF-GATv2,10.2,5,24.0,3.0,6.0,5.0,13.0
RELDIFF-GAT,14.0,5,31.0,13.0,11.0,1.0,14.0
CLAVA-GAT,14.4,5,22.0,10.0,19.0,2.0,19.0
RGCLD-GSAGE,15.2,5,10.0,39.0,9.0,16.0,2.0
CLAVA-GATv2,16.8,5,23.0,11.0,30.0,10.0,10.0
RGCLD-GCONV,17.0,5,11.0,42.0,23.0,6.0,3.0
TARGN-GSAGE,17.0,5,20.0,25.0,2.0,4.0,34.0
RGCLD-GIN,17.8,5,9.0,40.0,24.0,11.0,5.0
RGCLD-RelGNN,18.2,5,12.0,41.0,16.0,18.0,4.0
TARGN-GAT,19.0,5,33.0,29.0,12.0,3.0,18.0
TARGN-RelGNN,20.6,5,17.0,28.0,1.0,24.0,33.0
TARGN-GIN,20.8,5,19.0,27.0,13.0,20.0,25.0
RGCLD-GAT,20.8,5,26.0,15.0,20.0,17.0,26.0
RGCLD-GATv2,20.8,5,13.0,32.0,25.0,22.0,12.0
RCTGAN-GSAGE,21.5,4,18.0,17.0,21.0,,30.0
TARGN-GCONV,22.8,5,21.0,31.0,4.0,23.0,35.0
SDV-GCONV,23.25,4,40.0,14.0,31.0,,8.0
RCTGAN-RelGNN,24.0,4,15.0,22.0,27.0,,32.0
SDV-GSAGE,24.5,4,39.0,21.0,22.0,,16.0
RCTGAN-GIN,25.0,4,16.0,19.0,29.0,,36.0
TARGN-GATv2,25.0,5,34.0,26.0,17.0,21.0,27.0
SDV-GIN,25.75,4,42.0,12.0,28.0,,21.0
RCTGAN-GATv2,26.25,4,25.0,18.0,34.0,,28.0
SDV-RelGNN,26.25,4,41.0,16.0,26.0,,22.0
RCTGAN-GCONV,26.75,4,14.0,30.0,32.0,,31.0
RCTGAN-GAT,27.0,4,32.0,24.0,35.0,,17.0
SDV-GATv2,28.75,4,38.0,20.0,33.0,,24.0
REALTF-GCONV,30.0,2,27.0,33.0,,,
SDV-GAT,31.25,4,37.0,23.0,36.0,,29.0
REALTF-GSAGE,31.5,2,29.0,34.0,,,
REALTF-RelGNN,32.0,2,28.0,36.0,,,
REALTF-GIN,32.5,2,30.0,35.0,,,
REALTF-GATv2,36.0,2,35.0,37.0,,,
REALTF-GAT,37.0,2,36.0,38.0,,,
