Algorithm,Performance,Rank
GCONV-ORIG,0.9805194805194807,1.0
GATv2-ORIG,0.9642857142857143,2.5
GIN-ORIG,0.9642857142857143,2.5
RelGNN-ORIG,0.9512987012987013,4.0
GSAGE-ORIG,0.926948051948052,5.0
GAT-ORIG,0.9204545454545454,6.0
GAT-RELDIFF,0.7792207792207794,7.0
GAT-CLAVA,0.7310606060606061,8.0
GAT-TARGN,0.7137445887445888,9.0
GSAGE-TARGN,0.7023809523809524,10.0
GATv2-RELDIFF,0.6861471861471862,11.0
GCONV-RGCLD,0.6834415584415584,12.0
GIN-CLAVA,0.6774891774891775,13.0
RelGNN-CLAVA,0.6482683982683982,14.0
GCONV-RELDIFF,0.6444805194805194,15.0
GATv2-CLAVA,0.6385281385281386,16.0
GIN-RGCLD,0.6125541125541126,17.0
GIN-RELDIFF,0.6103896103896104,18.0
GSAGE-CLAVA,0.6060606060606061,19.0
RelGNN-RELDIFF,0.5768398268398268,20.0
GCONV-CLAVA,0.5579004329004329,21.0
GSAGE-RGCLD,0.5562770562770564,22.0
GAT-RGCLD,0.5562770562770563,23.0
RelGNN-RGCLD,0.5487012987012987,24.0
GSAGE-RELDIFF,0.5319264069264069,25.0
GIN-TARGN,0.5281385281385281,26.0
GATv2-TARGN,0.5238095238095238,27.0
GATv2-RGCLD,0.43777056277056275,28.0
GCONV-TARGN,0.34632034632034636,29.0
RelGNN-TARGN,0.30844155844155846,30.0
