Algorithm,Performance,Rank
GSAGE-ORIG,0.7806843307613972,1.0
RelGNN-ORIG,0.7705166197234785,2.0
GIN-ORIG,0.7472407497454058,3.0
GCONV-ORIG,0.7374927750305055,4.0
GATv2-ORIG,0.736504215712359,5.0
GAT-ORIG,0.7242997513693038,6.0
RelGNN-TARGN,0.70595215158827,7.0
GSAGE-TARGN,0.6964732974302045,8.0
GCONV-RELDIFF,0.6905862852494411,9.0
GCONV-TARGN,0.6876710673994086,10.0
GSAGE-RELDIFF,0.6874730497169647,11.0
GATv2-RELDIFF,0.6871679954494162,12.0
GIN-RELDIFF,0.6860051194069562,13.0
GSAGE-CLAVA,0.6824591502518418,14.0
GSAGE-RGCLD,0.681985131089235,15.0
RelGNN-RELDIFF,0.6789330593196756,16.0
GAT-RELDIFF,0.6751829561058255,17.0
GAT-TARGN,0.6716056405222162,18.0
GIN-TARGN,0.6690168842567532,19.0
RelGNN-CLAVA,0.6658960032539123,20.0
GIN-CLAVA,0.6559393071980575,21.0
RelGNN-RGCLD,0.6557053558048999,22.0
GATv2-TARGN,0.6545447734035493,23.0
GCONV-CLAVA,0.6501142233272476,24.0
GAT-CLAVA,0.6449443562666862,25.0
GAT-RGCLD,0.6399832105470793,26.0
GSAGE-RCTGAN,0.6310647693667409,27.0
GSAGE-SDV,0.6299554116168334,28.0
GCONV-RGCLD,0.6260080552675761,29.0
GIN-RGCLD,0.6189864552847021,30.0
GATv2-RGCLD,0.6150299243710071,31.0
RelGNN-SDV,0.5963680957579872,32.0
RelGNN-RCTGAN,0.5630835405255802,33.0
GIN-SDV,0.5628182427039277,34.0
GIN-RCTGAN,0.562377863610925,35.0
GATv2-CLAVA,0.5603342293824601,36.0
GCONV-SDV,0.5416280570413253,37.0
GCONV-RCTGAN,0.5364000844059927,38.0
GATv2-SDV,0.5117434424800683,39.0
GATv2-RCTGAN,0.503500860879963,40.0
GAT-RCTGAN,0.48489943148282366,41.0
GAT-SDV,0.4619056793612056,42.0
