Algorithm,Average_Rank,Rank_Rossmann,Rank_Walmart,Rank_Airbnb,Rank_Berka,Rank_F1
ORIG-GCONV,1.6,1.0,1.0,4.0,1.0,1.0
ORIG-GIN,2.5,2.0,3.0,3.0,2.5,2.0
ORIG-GSAGE,3.0,3.0,2.0,1.0,5.0,4.0
ORIG-RelGNN,4.0,4.0,4.0,2.0,4.0,6.0
ORIG-GATv2,6.1,15.0,5.0,5.0,2.5,3.0
ORIG-GAT,8.2,18.0,6.0,6.0,6.0,5.0
RELDIFF-GSAGE,13.0,10.0,12.0,11.0,25.0,7.0
RELDIFF-GCONV,13.2,11.0,7.0,9.0,15.0,24.0
RELDIFF-GIN,13.8,12.0,10.0,13.0,18.0,16.0
CLAVA-GIN,13.8,8.0,15.0,21.0,13.0,12.0
CLAVA-GSAGE,13.8,9.0,14.0,14.0,19.0,13.0
RELDIFF-RelGNN,14.4,5.0,8.0,16.0,20.0,23.0
CLAVA-RelGNN,14.6,6.0,13.0,20.0,14.0,20.0
RELDIFF-GATv2,15.2,26.0,9.0,12.0,11.0,18.0
CLAVA-GCONV,15.4,7.0,11.0,24.0,21.0,14.0
RGCLD-GSAGE,17.2,14.0,27.0,15.0,22.0,8.0
RELDIFF-GAT,17.8,28.0,18.0,17.0,7.0,19.0
TARGN-GSAGE,17.8,22.0,20.0,8.0,10.0,29.0
RGCLD-GCONV,18.8,16.0,30.0,27.0,12.0,9.0
CLAVA-GAT,19.0,24.0,16.0,25.0,8.0,22.0
RGCLD-GIN,19.4,13.0,28.0,28.0,17.0,11.0
TARGN-GAT,20.2,29.0,24.0,18.0,9.0,21.0
RGCLD-RelGNN,20.4,17.0,29.0,22.0,24.0,10.0
CLAVA-GATv2,20.6,25.0,17.0,30.0,16.0,15.0
TARGN-RelGNN,21.6,20.0,23.0,7.0,30.0,28.0
TARGN-GIN,22.6,21.0,22.0,19.0,26.0,25.0
TARGN-GCONV,23.4,23.0,25.0,10.0,29.0,30.0
RGCLD-GATv2,23.8,19.0,26.0,29.0,28.0,17.0
RGCLD-GAT,24.2,27.0,19.0,26.0,23.0,26.0
TARGN-GATv2,25.6,30.0,21.0,23.0,27.0,27.0
