Algorithm,Performance,Rank
GCONV-ORIG,0.870094324832776,1.0
GIN-ORIG,0.8674291910535118,2.0
GATv2-ORIG,0.8625496446488293,3.0
GSAGE-ORIG,0.8561350334448162,4.0
GAT-ORIG,0.8487079326923076,5.0
RelGNN-ORIG,0.8354606500836118,6.0
GSAGE-RELDIFF,0.788189363851728,7.0
GSAGE-RGCLD,0.7831312709030099,8.0
GCONV-RGCLD,0.7792097791248606,9.0
RelGNN-RGCLD,0.7735659664158305,10.0
GIN-RGCLD,0.7683402139074693,11.0
GIN-CLAVA,0.7581761252787068,12.0
GSAGE-CLAVA,0.7563188057413601,13.0
GCONV-SDV,0.7476636531493868,14.0
GCONV-CLAVA,0.7463964081661092,15.0
GATv2-CLAVA,0.7408070303790413,16.0
GIN-RELDIFF,0.7261139562430322,17.0
GATv2-RGCLD,0.7253017872073579,18.0
GATv2-RELDIFF,0.714430044593088,19.0
GAT-RELDIFF,0.7038522505574137,20.0
RelGNN-CLAVA,0.6886322463768115,21.0
GSAGE-SDV,0.6794066158026757,22.0
GAT-RCTGAN,0.6789580720457079,23.0
GAT-TARGN,0.6639710493311036,24.0
GAT-CLAVA,0.6559386322463768,25.0
RelGNN-RELDIFF,0.6553550898829431,26.0
GIN-SDV,0.6432269892697882,27.0
RelGNN-SDV,0.6016169349219621,28.0
GCONV-RELDIFF,0.5951043408584168,29.0
GATv2-SDV,0.559665029264214,30.0
GIN-TARGN,0.5566819955406912,31.0
GAT-RGCLD,0.5525101031215162,32.0
GATv2-TARGN,0.5356505190914158,33.0
GATv2-RCTGAN,0.5045855978260869,34.0
GAT-SDV,0.4881484287904125,35.0
GSAGE-RCTGAN,0.48724916387959866,36.0
GCONV-RCTGAN,0.46296465649386837,37.0
RelGNN-RCTGAN,0.461346850613155,38.0
RelGNN-TARGN,0.4448879076086956,39.0
GSAGE-TARGN,0.4429848627369008,40.0
GCONV-TARGN,0.42830049818840576,41.0
GIN-RCTGAN,0.4186676943979933,42.0
