Algorithm,Performance,Rank
GCONV-ORIG,177.65581932183724,1.0
GIN-ORIG,177.85334619611055,2.0
GSAGE-ORIG,178.10739312625165,3.0
RelGNN-ORIG,178.1516857684154,4.0
RelGNN-RELDIFF,190.46141537467506,5.0
RelGNN-CLAVA,192.2579433076452,6.0
GCONV-CLAVA,192.32877430953263,7.0
GIN-CLAVA,192.70366897357698,8.0
GSAGE-CLAVA,192.82342280125945,9.0
GSAGE-RELDIFF,193.29550182103017,10.0
GCONV-RELDIFF,193.84412127076894,11.0
GIN-RELDIFF,196.51700109352927,12.0
GIN-RGCLD,197.09146299242738,13.0
GSAGE-RGCLD,204.45499770545655,14.0
GATv2-ORIG,205.05076465178138,15.0
GCONV-RGCLD,205.72303312203644,16.0
RelGNN-RGCLD,210.4268400594137,17.0
GAT-ORIG,211.38446191999859,18.0
GATv2-RGCLD,214.85530487611334,19.0
GCONV-RCTGAN,215.83727588649447,20.0
RelGNN-RCTGAN,218.55603901302746,21.0
GIN-RCTGAN,218.66530424619123,22.0
RelGNN-TARGN,223.4659234069202,23.0
GSAGE-RCTGAN,223.71709556656552,24.0
GIN-TARGN,223.89899110645243,25.0
GSAGE-TARGN,228.6918233128063,26.0
GCONV-TARGN,229.11728238041584,27.0
GAT-CLAVA,229.81267411943705,28.0
GATv2-CLAVA,238.64201801340369,29.0
GATv2-RELDIFF,245.22788957367834,30.0
GATv2-RCTGAN,250.89080937547,31.0
GAT-RGCLD,252.05536854179203,32.0
GCONV-REALTF,253.13352066841503,33.0
RelGNN-REALTF,254.24062121668962,34.0
GSAGE-REALTF,255.91766502873818,35.0
GIN-REALTF,257.3039931058485,36.0
GAT-RELDIFF,271.2175696472141,37.0
GAT-RCTGAN,289.20645776700144,38.0
GAT-TARGN,304.01687498846275,39.0
GATv2-TARGN,330.0099190216758,40.0
GATv2-REALTF,530.9992808611493,41.0
GAT-REALTF,564.4846016212706,42.0
GAT-SDV,963.4811639386052,43.0
GATv2-SDV,1212.1004410807914,44.0
GSAGE-SDV,3428.295556130639,45.0
GCONV-SDV,3430.4494874515635,46.0
RelGNN-SDV,3440.2883639330535,47.0
GIN-SDV,3647.7697977973817,48.0
