Algorithm,Performance,Rank
GCONV-ORIG,13033.40035410507,1.0
GSAGE-ORIG,13051.970311551724,2.0
GIN-ORIG,13056.01321066687,3.0
RelGNN-ORIG,13097.3484769226,4.0
GATv2-ORIG,13114.49561509377,5.0
GAT-ORIG,13117.814677197903,6.0
GCONV-RELDIFF,13219.232975272134,7.0
RelGNN-RELDIFF,13282.566863072614,8.0
GATv2-RELDIFF,13297.10090063407,9.0
GIN-RELDIFF,13301.676713538967,10.0
GCONV-CLAVA,13329.186114047776,11.0
GSAGE-RELDIFF,13347.673478342156,12.0
RelGNN-CLAVA,13408.479905182996,13.0
GSAGE-CLAVA,13421.37758519825,14.0
GIN-CLAVA,13422.805109381103,15.0
GAT-CLAVA,13496.002224017682,16.0
GATv2-CLAVA,13497.413376289767,17.0
GIN-SDV,13538.717091466176,18.0
GAT-RELDIFF,13560.836936098101,19.0
GCONV-SDV,13580.860823855599,20.0
GAT-RGCLD,13626.00216912385,21.0
RelGNN-SDV,13722.200851267771,22.0
GSAGE-RCTGAN,13737.794404380258,23.0
GATv2-RCTGAN,13749.792487538323,24.0
GIN-RCTGAN,13754.628704102544,25.0
GATv2-SDV,13759.91115358632,26.0
GSAGE-SDV,13761.329985373091,27.0
RelGNN-RCTGAN,13791.359424150758,28.0
GAT-SDV,13795.45476294421,29.0
GAT-RCTGAN,13812.744282953849,30.0
GSAGE-TARGN,13838.10363499463,31.0
GATv2-TARGN,13841.287927119522,32.0
GIN-TARGN,13841.294246373218,33.0
RelGNN-TARGN,13845.732752216245,34.0
GAT-TARGN,13845.98656404177,35.0
GCONV-RCTGAN,13848.653415377608,36.0
GCONV-TARGN,13850.371287892958,37.0
GATv2-RGCLD,14080.525794608453,38.0
GCONV-REALTF,14266.736718637598,39.0
GSAGE-REALTF,14270.460167009203,40.0
GIN-REALTF,14304.552246076719,41.0
RelGNN-REALTF,14310.740717128514,42.0
GATv2-REALTF,14361.606040744276,43.0
GAT-REALTF,14364.468491966561,44.0
GSAGE-RGCLD,15089.6860049487,45.0
GIN-RGCLD,15164.588492629266,46.0
RelGNN-RGCLD,15243.315362116993,47.0
GCONV-RGCLD,15268.314288265296,48.0
